language,term,CIEL_L,CIEL_a,CIEL_b
Catalan,zeleno,81.35,14.98,47.04
Catalan,zeleno,71.6,24.12,84.39
Catalan,zeleno,61.7,22.09,71.31
Catalan,zeleno,51.57,19.79,58.75
Catalan,zeleno,41.22,17.04,45.95
Catalan,zeleno,30.77,13.89,33.8
Catalan,zeleno,20.54,10.16,21.44
Catalan,cerveno,91.08,1.28,14.41
Catalan,cerveno,81.35,15.1,90.21
Catalan,cerveno,71.6,15.62,90.72
Catalan,cerveno,61.7,14.45,76.93
Catalan,cerveno,51.57,13.12,63.99
Catalan,cerveno,41.22,9.31,37.8
Catalan,cerveno,30.77,9.51,37.16
Catalan,cerveno,20.54,3.62,11.09
Catalan,kafjavo,91.08,-0.46,29.79
Catalan,kafjavo,81.35,7.28,109.12
Catalan,kafjavo,71.6,6.22,81.95
Catalan,kafjavo,61.7,5.87,68.59
Catalan,kafjavo,51.57,5.33,54.9
Catalan,kafjavo,41.22,4.42,40.43
Catalan,kafjavo,30.77,3.1,25.71
Catalan,kafjavo,20.54,1.58,11.89
Catalan,sino,91.08,-5.25,45.24
Catalan,sino,81.35,-3.69,100.18
Catalan,sino,71.6,-2.3,85.64
Catalan,sino,61.7,-1.4,71.61
Catalan,sino,51.57,-0.48,57.27
Catalan,sino,41.22,-0.21,42.37
Catalan,sino,30.77,-0.15,26.58
Catalan,sino,20.54,-0.11,12.03
Catalan,zelto,91.08,-12.17,45.9
Catalan,zelto,81.35,-17.25,87.99
Catalan,zelto,71.6,-15.98,87.62
Catalan,zelto,61.7,-14.02,73.17
Catalan,zelto,51.57,-11.71,58.46
Catalan,zelto,41.22,-9.31,43.05
Catalan,zelto,30.77,-6.44,26.57
Catalan,zelto,20.54,-3.09,10.75
Catalan,zeleno,91.08,-16.65,44.66
Catalan,zeleno,81.35,-26.04,85.63
Catalan,zeleno,71.6,-24.87,85.15
Catalan,zeleno,61.7,-21.81,70.54
Catalan,zeleno,51.57,-18.37,55.88
Catalan,zeleno,41.22,-14.57,40.52
Catalan,zeleno,30.77,-10.05,24.97
Catalan,zeleno,20.54,-4.47,9.36
Catalan,sivo,91.08,-12.29,10.56
Catalan,sivo,81.35,-38.45,34.02
Catalan,sivo,71.6,-46.7,41.31
Catalan,sivo,61.7,-55.94,49.19
Catalan,sivo,51.57,-56.86,49.22
Catalan,sivo,41.22,-38.39,31.53
Catalan,sivo,30.77,-27.26,20.69
Catalan,sivo,20.54,-16.46,11.28
Catalan,sino,91.08,-13.22,3.82
Catalan,sino,81.35,-33.63,8.67
Catalan,sino,71.6,-41.85,9.77
Catalan,sino,61.7,-52.09,10.63
Catalan,sino,51.57,-52.69,9.7
Catalan,sino,41.22,-53.43,8.61
Catalan,sino,30.77,-49.93,6.94
